MINUTE,HOUR,DAY,MONTH,LATITUDE,LONGITUD,FATALS
14,19,10,4,33.52234444,-86.84459167,1
52,7,5,5,31.31592778,-85.50322778,1
33,8,6,5,33.19449167,-86.59154444,1
15,17,7,5,30.742675,-88.12476111,1
10,8,2,5,33.88798889,-87.44477778,1
9,21,5,5,33.49329444,-86.89189444,1
45,13,6,5,33.57581667,-86.71530278,1
0,8,15,5,31.89738889,-86.59921667,1
27,0,8,4,33.496,-86.60808889,1
36,14,2,6,33.53933889,-86.73585278,1
5,22,2,4,34.77394444,-87.66828889,1
55,15,13,5,33.62123611,-86.80314444,1
54,20,2,5,33.74995833,-87.20195833,1
50,21,18,4,34.13581111,-87.40026389,2
7,17,11,5,34.19882222,-86.81084167,1
6,19,30,4,32.56826667,-85.119575,1
0,19,17,4,32.43808056,-86.98898889,1
30,9,25,4,34.74722778,-87.00161111,2
55,4,6,5,33.09633333,-85.34190278,1
15,19,7,5,32.73068611,-86.90223056,2
0,22,7,5,31.64316944,-87.18630833,1
15,4,7,5,32.41042778,-87.468575,1
40,13,8,5,34.70984722,-87.77590278,1
15,14,9,5,33.6728,-85.90320556,1
5,15,9,5,34.87948889,-87.69138611,1
0,18,11,5,33.66324722,-85.69076944,1
11,5,11,5,32.55643611,-85.5126,1
10,10,13,5,34.07165278,-87.10611111,1
17,23,18,5,33.98833056,-88.16858889,1
14,19,15,5,30.69784167,-88.27627222,1
30,0,15,5,31.77080833,-86.29236111,1
31,15,15,5,32.62751944,-85.13706944,1
0,6,16,5,30.58733889,-88.28608889,1
57,13,16,5,33.01095833,-86.78940556,1
30,20,17,5,31.32875833,-87.53181111,1
37,21,6,3,31.02473611,-87.49051944,1
25,2,24,5,30.50770278,-88.37318611,1
14,19,11,5,30.76854722,-88.11038333,1
99,99,15,5,34.29717222,-86.26500278,1
52,13,12,5,34.20586667,-86.84279444,1
25,22,14,5,30.76543889,-88.12919167,1
50,21,17,5,34.28530556,-86.23126111,1
46,8,23,5,34.24875556,-86.23130278,1
57,11,29,5,33.46488611,-86.78613333,1
22,14,26,5,32.52405556,-87.83751667,1
5,18,31,5,30.28469722,-87.68629444,1
30,13,6,6,34.46536389,-85.78511111,1
4,9,1,5,32.34159444,-86.21163611,1
30,13,9,5,30.47269167,-87.88641944,1
55,9,13,5,31.44766389,-85.63630556,1
55,8,16,5,34.73898611,-86.57678333,1
1,0,18,5,33.9458,-86.87004444,1
45,3,20,5,33.595675,-86.394125,1
25,12,20,5,32.61071389,-86.71830556,1
28,20,21,5,33.96770833,-85.76743056,1
18,22,21,5,34.09249167,-86.18330278,1
50,10,21,5,31.04162778,-85.53632222,1
4,19,21,5,32.51381389,-85.93085278,2
0,10,21,5,31.38229167,-87.42876944,1
15,14,21,5,33.1784,-87.56704444,1
30,21,21,5,32.49965556,-88.12056667,1
20,6,23,5,34.63131111,-86.50223889,1
15,18,23,5,32.595375,-85.15084444,1
56,16,14,5,31.38251667,-88.00833056,1
10,20,28,5,34.79881944,-86.73435556,1
3,19,30,5,33.11882778,-86.13205,1
30,2,31,5,31.91644167,-85.81308333,1
10,16,1,6,34.62883889,-86.94795833,3
10,0,2,6,32.76620278,-86.54913333,1
3,13,2,6,33.33249722,-87.58926389,1
15,19,3,6,33.93691667,-86.86856389,1
45,16,5,6,34.14507222,-86.86900278,1
27,16,6,6,32.20906111,-88.08899167,1
5,14,6,6,31.21331111,-85.36193611,1
45,6,8,6,31.10208611,-85.254775,1
35,19,10,6,32.11733889,-85.07753611,1
45,5,10,6,32.70663056,-87.64956944,1
32,12,10,6,33.28996389,-86.44828333,3
23,13,12,6,34.08517778,-86.59076111,1
30,18,12,6,32.808875,-86.40448889,1
30,1,17,4,33.17303889,-87.32490556,1
32,8,4,6,31.69456111,-86.26621389,1
40,23,12,6,32.44006667,-86.37498333,1
55,23,10,5,32.32632222,-86.325575,1
18,19,18,6,34.22739444,-87.62146667,1
31,11,22,6,34.61323611,-86.56699722,1
55,16,25,5,33.68397778,-86.53455278,4
30,6,26,5,34.53085833,-86.61358889,2
0,21,26,5,34.49654722,-86.63435278,1
0,5,27,5,33.75902778,-86.47490278,1
0,17,28,5,33.33656111,-87.39091389,1
22,14,28,5,34.71357222,-86.67116389,1
50,17,29,5,32.74352778,-85.92395556,1
10,17,29,5,33.23728889,-86.35161667,1
0,19,29,5,34.14004722,-85.92879167,1
30,6,29,5,30.91035278,-87.97058611,1
13,19,30,5,32.81221111,-85.31132778,1
30,23,1,6,31.46077222,-86.41568889,1
25,7,2,6,34.97849722,-85.60833333,1
30,21,3,6,31.00272778,-86.24135556,1
40,0,4,6,32.92392778,-87.07722778,2
36,14,5,6,32.95978611,-86.67469444,1
55,9,7,6,33.85821944,-87.37675556,1
52,10,8,6,34.66011111,-86.71715833,1
99,99,8,6,31.28114444,-86.26406944,1
30,5,10,6,32.70555556,-86.21607778,1
4,18,18,6,32.35034722,-85.12077222,1
0,16,18,6,32.18514722,-87.37296944,2
5,23,18,6,32.55294444,-86.45822778,1
20,10,19,6,34.57486111,-87.01623611,1
10,1,19,6,34.56469444,-87.22718611,1
0,3,19,6,33.45918333,-86.94649722,1
30,14,21,6,33.14330833,-87.74662222,1
9,12,23,6,30.60386944,-87.86900556,1
20,16,24,6,33.70275,-86.60210278,1
45,6,25,6,34.54536111,-86.72161111,1
20,5,26,6,30.47696389,-88.11343056,1
0,21,25,6,33.614225,-85.746875,1
13,20,27,6,31.19272222,-85.40080556,1
30,21,27,6,34.16238611,-86.50089722,1
50,7,28,6,31.15929167,-87.46366111,1
10,21,28,6,34.38735278,-88.08568611,2
36,20,29,6,32.94724722,-86.20258333,1
20,6,12,6,30.57223889,-87.81848333,1
0,9,12,6,32.91671944,-86.27031389,1
59,4,12,6,32.40983056,-86.26546667,1
0,4,12,6,30.639575,-88.39199444,1
30,17,13,6,33.74050833,-85.40648056,1
0,23,13,6,34.70436389,-87.65098611,1
9,12,14,6,30.60311944,-87.89808056,1
30,21,14,6,32.04540556,-86.215875,1
20,16,14,6,32.55799167,-86.31946667,1
50,18,14,6,31.02193056,-86.61284722,3
40,20,15,6,31.59473056,-87.61436944,1
15,11,15,6,34.47961389,-86.73760833,1
30,7,16,6,34.79859722,-87.64844167,1
0,3,17,6,33.60051944,-86.19804444,1
20,17,19,6,33.52804167,-86.93543611,1
10,15,20,6,33.738375,-87.02711389,1
15,6,20,6,32.02313056,-86.51496389,1
30,17,21,6,31.25344167,-87.04611667,1
2,23,25,6,33.54538333,-86.7606,1
22,21,29,6,33.36897222,-88.02148889,1
55,18,29,3,34.430275,-86.89949444,1
45,1,5,6,33.59561667,-85.87223611,1
35,17,24,6,31.73105,-87.76823056,1
0,3,24,6,32.81907778,-85.18373333,1
23,22,25,6,32.36532778,-86.371175,1
59,23,21,6,34.46626667,-87.25903889,1
59,21,1,7,33.24712222,-87.67606944,2
0,15,8,7,34.22118889,-85.57235,2
0,8,1,7,33.17089444,-87.52903056,1
35,18,1,7,33.24695278,-86.28937778,1
15,23,1,7,32.592175,-86.96714167,1
14,1,2,7,33.61445,-86.42610556,1
15,7,1,7,33.74029444,-87.28272778,1
20,13,2,7,31.06813611,-85.43292778,1
13,2,2,7,34.80276944,-87.20034167,1
15,13,3,7,32.06893889,-87.30291944,1
0,19,4,7,33.64620556,-86.74130833,1
28,19,4,7,30.60003056,-87.84875,1
38,6,6,7,34.61715278,-86.57998056,1
53,8,31,5,34.79428056,-87.62427222,1
52,22,9,6,34.87348611,-87.62002222,1
5,21,6,7,34.80665833,-87.65566389,1
21,5,12,7,34.19992222,-86.81870833,1
45,14,14,7,34.50729722,-85.84656667,2
45,8,20,7,33.12815278,-85.35717222,1
20,17,21,6,34.95419722,-87.253975,1
30,16,22,6,32.36539167,-86.28309722,1
14,11,15,5,32.36835556,-86.30206944,1
50,14,19,7,34.50814722,-87.28771944,1
24,10,2,7,34.628025,-86.90846389,1
0,5,3,7,30.55466667,-88.14646389,1
55,2,3,7,33.478875,-87.16143889,1
55,17,8,7,34.57481944,-86.1241,2
45,9,8,7,34.30270278,-86.90771389,1
0,14,8,7,32.67305,-86.50831667,1
15,18,9,7,31.14183611,-87.41278333,1
38,19,9,7,32.59686667,-85.55952778,2
57,9,9,7,32.46913889,-85.06491667,1
45,22,9,7,30.52126111,-88.17027222,1
0,20,9,7,33.89247778,-86.85498056,1
25,18,10,7,31.49700556,-86.07797778,2
15,10,10,7,33.79888056,-87.25065,1
5,8,11,7,34.12932778,-87.13853333,1
1,18,13,7,32.41268333,-85.03831944,1
0,0,13,7,31.27017778,-85.37743889,1
10,20,13,7,30.38733333,-87.717225,1
10,4,13,7,30.56969722,-88.22071944,1
15,18,15,7,31.36863333,-85.59985833,1
45,22,16,7,34.397525,-87.61041389,1
10,1,16,7,32.28103611,-87.25964167,1
30,17,18,7,34.48677778,-87.37206944,1
22,17,23,5,30.40239722,-87.58148333,1
48,10,17,7,33.58424444,-86.70514167,1
30,0,29,7,33.70966944,-87.852,1
52,0,31,7,31.30735556,-85.68143889,1
3,20,16,6,33.65179167,-86.81145,1
54,16,4,7,31.16004444,-85.34448889,1
50,20,9,7,33.72132222,-86.62235833,1
40,23,23,7,32.64304167,-86.94131667,1
5,13,23,7,31.63890556,-87.67894444,1
55,17,23,7,34.84721667,-87.03777778,1
15,16,24,7,34.56778611,-87.12900556,1
25,13,25,7,33.35633333,-86.48852778,1
46,21,27,7,34.76793333,-86.55299722,1
30,21,27,7,31.08175278,-87.17552778,1
21,20,28,7,34.67360833,-86.035775,1
47,23,28,7,33.55326944,-86.09319167,1
27,22,29,7,30.68914167,-88.04418056,1
30,4,30,7,34.75193611,-86.70354444,2
0,9,30,7,32.32295278,-86.90602778,1
0,6,30,7,32.32956944,-87.57762222,1
10,2,30,7,34.8204,-87.01775833,2
30,12,30,7,34.36460556,-85.80673056,1
30,11,30,7,34.99055,-87.90937778,1
15,0,30,7,32.7511,-86.45009722,1
15,3,31,7,32.24899444,-86.28490556,1
35,16,31,7,32.24087222,-86.19114444,1
0,18,16,7,31.83036944,-87.54101389,1
30,5,29,7,34.84867778,-86.458325,1
0,22,17,7,33.54734167,-86.78099444,1
56,4,1,8,32.56824444,-86.46515833,1
30,22,1,8,30.67664722,-88.187225,1
35,15,2,8,33.78405278,-86.64764722,1
50,12,3,8,31.27052778,-88.047675,1
55,15,1,8,32.66995278,-86.50641111,1
15,20,1,8,33.50109444,-86.91781111,1
53,19,2,8,32.42152222,-86.23089444,1
45,22,7,8,34.87703333,-87.70898611,1
55,18,7,8,34.5522,-87.69315,1
6,2,14,8,33.98366944,-85.83060278,1
10,16,10,8,33.67424722,-86.69614167,1
33,16,8,8,32.56066667,-86.19165,1
10,17,24,7,32.66505556,-85.23654722,1
55,5,31,7,32.40281944,-87.82787222,1
40,22,28,7,33.53178889,-86.80438333,1
44,15,10,8,32.36149444,-86.18787222,1
57,0,10,8,34.64136389,-87.14095833,1
43,18,11,8,34.528825,-86.23308333,1
35,12,13,8,31.445375,-85.65460278,1
55,22,14,8,30.68810833,-88.127525,1
30,21,15,8,34.86130278,-87.040675,1
30,18,15,8,34.17967778,-85.53115,1
20,6,15,8,32.18566389,-86.68500556,1
0,19,16,8,31.12843889,-85.075625,1
38,7,17,8,34.481125,-87.03426944,1
53,23,18,8,32.40338889,-86.40364167,1
30,16,18,8,33.2138,-87.19646944,1
45,20,18,8,34.68784167,-85.85611667,1
35,21,19,8,33.42735,-85.29538889,1
25,11,19,8,33.6552,-87.66606944,1
10,12,20,8,34.68096111,-87.15105,1
35,21,20,8,31.96598889,-86.27813333,1
3,17,20,8,30.52639167,-87.88616389,1
45,0,21,8,30.55666111,-88.12405278,1
42,16,23,8,33.90428611,-85.68141944,1
45,16,23,8,31.07068889,-87.55313889,1
10,13,24,8,33.79798056,-86.82470556,1
40,16,24,8,31.51320556,-85.88156389,1
40,6,24,8,32.36653333,-85.18573611,1
25,5,25,8,33.76796389,-85.89481389,1
35,0,26,8,32.60708056,-86.21571389,2
15,20,16,8,33.57321389,-86.65241111,1
13,8,2,9,34.87341389,-85.82276944,1
47,8,21,6,33.33404167,-86.97223611,3
50,6,16,7,33.59774444,-86.70899444,1
50,16,17,8,34.82273333,-86.67423333,1
27,22,18,8,34.69678889,-86.72446389,1
14,16,21,8,33.351225,-86.61092222,1
35,10,24,8,32.26631389,-87.68536111,1
35,7,24,8,32.48271389,-87.13060556,1
19,18,25,8,32.74124444,-86.54565833,2
0,22,26,8,34.37436389,-85.79966111,1
40,14,26,8,34.56342222,-87.08648889,1
47,23,26,8,30.44967222,-87.68338611,1
30,18,28,8,30.44661111,-88.24603889,1
30,4,29,8,33.52242222,-86.96369167,1
50,20,29,8,34.63395833,-85.90536111,1
45,12,27,8,32.71415,-86.52857778,1
5,22,31,8,31.91136944,-87.89144167,1
50,19,30,8,31.41057222,-86.33648889,1
14,19,2,9,34.22445278,-86.16062222,1
45,8,3,9,34.80843889,-86.74690833,1
48,14,3,9,32.48828056,-86.40840278,1
10,4,4,9,34.10256667,-86.86610833,1
38,12,4,9,33.58494167,-85.87982778,1
0,4,4,9,30.69163056,-88.09113611,1
18,21,6,9,33.995475,-86.13425,2
50,20,9,9,30.43600278,-87.73973333,1
50,4,9,9,34.30657778,-85.92338611,1
2,0,9,9,34.16301667,-86.17441944,1
6,14,7,9,34.33807778,-86.22749444,1
25,11,9,9,34.47048889,-85.78605556,1
20,17,2,9,32.44296667,-85.29224167,1
7,0,3,9,31.75558611,-88.08447222,1
18,18,10,9,34.31320556,-86.11241667,1
15,12,14,9,32.64690833,-88.19416389,1
30,12,14,9,34.01007778,-85.81026111,1
40,1,7,9,32.75606111,-86.55594722,1
19,8,9,9,32.43256944,-85.02718333,1
30,5,13,9,32.678575,-86.92708889,1
30,3,17,9,33.90365556,-87.15603333,1
11,12,17,9,33.96450556,-85.55319722,1
43,15,1,9,33.61763889,-86.67289722,1
27,22,3,9,33.52091389,-86.84756667,2
25,7,12,3,34.6255,-85.84429167,1
0,10,27,5,34.51775,-86.85436944,1
41,12,24,7,31.31611111,-87.148425,1
27,11,27,8,32.42454722,-86.28399167,1
14,15,16,9,33.11196111,-87.13857778,1
20,16,10,9,32.45068056,-87.38494167,1
30,19,13,9,34.595575,-87.43492778,1
30,5,13,9,33.68321111,-87.09653611,3
35,19,13,9,31.25214722,-85.41795,1
0,8,15,9,33.34034444,-86.87295278,1
20,2,17,9,30.74419722,-88.16105556,1
0,3,17,9,34.90035,-86.89258056,1
10,4,18,9,30.62771944,-88.11814167,1
33,3,18,9,32.34429167,-86.22408333,1
25,21,18,9,33.77093333,-86.42021667,1
30,10,18,9,34.58741389,-86.45115833,1
45,14,20,9,30.77875,-87.78161944,1
57,16,22,9,33.91709444,-87.38722778,1
20,22,24,9,33.35035556,-86.58699722,1
0,14,25,9,33.95103056,-86.55493889,1
45,21,26,9,34.42671667,-86.82285833,1
4,22,17,9,32.74750833,-85.19916667,1
11,3,22,9,32.47914722,-85.56267222,1
40,20,24,9,33.21935556,-87.48741389,1
15,16,25,9,33.04903889,-85.90266944,1
21,12,26,9,34.20708611,-86.87488889,1
25,16,28,9,33.16779444,-86.20052222,1
10,12,29,9,34.77089444,-86.49838611,1
47,12,3,10,32.90703611,-85.92728889,1
42,15,6,10,32.51144444,-85.89522778,1
0,15,1,10,32.93649444,-85.79741944,1
5,3,1,10,34.18045833,-86.88731667,1
10,20,2,10,31.65521667,-85.94239722,1
10,12,5,10,33.34915278,-86.02216667,1
8,13,7,10,34.77717778,-87.19496667,1
20,6,8,10,32.36650556,-86.10087222,1
8,17,5,10,33.13293889,-87.54650278,1
10,9,7,10,34.38259167,-87.62872222,1
15,19,8,10,32.21423611,-86.26721389,1
50,17,13,10,33.446625,-87.125175,1
25,11,16,10,34.66597778,-85.98591389,1
40,10,10,10,32.83713889,-86.65633056,1
33,18,19,4,33.84094722,-86.24638333,1
25,16,15,5,33.82188889,-86.28147222,1
26,0,3,7,33.82545556,-86.23898056,1
5,6,23,9,31.31962222,-86.49976111,1
10,14,22,9,33.76797222,-85.89255,1
10,8,6,10,33.50271111,-86.83526111,1
35,19,13,10,31.89399167,-87.74366111,1
45,10,7,10,33.51383889,-86.78633889,1
50,18,13,10,34.57828056,-87.18061111,1
50,7,19,10,33.20594722,-86.73564444,1
53,16,6,10,32.62979722,-85.46927778,1
25,12,10,10,33.51106111,-86.12851667,1
50,7,14,10,32.78544444,-87.76023611,1
10,20,15,10,33.17287778,-88.1689,1
10,19,15,10,31.06576389,-88.02574444,1
30,3,17,10,31.22193056,-85.31791389,1
35,15,21,10,33.00432778,-86.91085833,1
0,6,22,10,32.83070278,-88.35359444,1
55,16,23,10,33.20055,-88.17527222,1
35,22,23,10,32.54361944,-86.82249444,1
50,23,24,10,30.81745556,-88.16071389,1
41,5,2,10,30.34102778,-87.68304444,1
0,16,11,10,34.32024167,-86.38013333,1
40,22,15,10,34.86055556,-86.06478056,1
45,19,18,10,31.036425,-87.74009444,1
30,0,20,10,33.81709167,-87.33467778,2
40,17,16,10,33.31756389,-86.90213333,1
30,10,19,10,34.73276111,-86.26593611,1
15,6,21,10,33.59588889,-86.22008056,1
10,17,23,10,33.72066389,-85.87402222,1
45,16,24,10,33.92384722,-87.24385833,1
48,15,24,10,33.48295556,-86.96013333,1
15,1,25,10,30.64459167,-88.10031389,1
29,17,28,10,32.42235556,-85.04004722,2
47,20,28,10,34.72770833,-86.67036944,1
40,23,29,10,30.33373056,-87.72541111,1
48,12,29,10,33.85099167,-86.821525,1
35,13,29,10,34.60085,-87.03489444,1
40,8,29,10,32.04960833,-88.21124722,1
5,8,31,10,34.20827222,-85.78216111,1
25,16,26,10,33.21556944,-87.1655,1
48,7,28,10,33.92997778,-87.825875,1
5,1,5,11,33.77374444,-86.95976944,1
0,6,4,11,34.81233889,-86.68475278,1
