MINUTE,HOUR,DAY,MONTH,LATITUDE,LONGITUD,FATALS
33,20,1,1,32.70131667,-85.52518056,1
15,13,1,1,34.74250833,-86.88350556,1
35,1,2,1,32.55205278,-87.34776944,1
12,15,5,1,32.64143611,-85.3543,1
0,6,6,1,34.92802778,-87.81505556,1
41,18,8,1,32.38015556,-86.29790278,1
0,3,8,1,32.42127222,-87.0869,1
50,1,4,1,32.90949722,-85.758875,1
42,18,1,1,33.58091944,-86.27647222,1
28,18,4,1,32.516175,-86.21178889,1
36,13,6,1,33.5726,-86.65275,1
49,19,22,1,33.83251111,-87.26960278,1
40,18,25,1,34.65639167,-85.72738333,1
50,18,27,1,34.27694167,-87.71489167,1
30,3,1,1,33.73851111,-86.48933611,2
10,12,3,1,33.95131667,-86.29692778,1
10,16,3,1,31.35445278,-88.22942778,1
30,10,4,1,34.05263333,-87.55327778,1
35,22,6,1,33.37958889,-85.31454444,1
55,9,7,1,30.50248333,-87.79342222,1
10,2,10,1,32.31560556,-86.88108333,1
23,6,10,1,32.66918611,-86.26668611,1
15,20,10,1,31.75038889,-88.04425278,2
10,15,10,1,33.56985833,-86.44631111,1
45,6,12,1,33.27090833,-87.74382778,1
30,21,13,1,33.93598333,-87.72403056,1
20,1,14,1,32.30963889,-86.28067222,1
30,19,14,1,31.09773333,-85.44489722,1
0,7,14,1,32.26710833,-87.62540556,1
49,23,14,1,33.54263056,-86.56250833,1
50,5,14,1,34.72013611,-86.48970556,1
17,17,14,1,34.78547778,-85.59655833,1
20,22,15,1,30.65705278,-88.24490833,1
20,14,16,1,31.25939167,-86.608275,1
30,1,16,1,31.27647222,-86.18111944,1
50,6,17,1,30.543225,-88.22778056,1
50,23,18,1,31.22416389,-85.63784167,1
30,6,20,1,33.38549167,-86.03296944,1
31,23,20,1,33.18337778,-87.55456389,1
59,12,20,1,31.16811389,-85.37718889,1
29,20,21,1,32.38368056,-86.38046944,1
25,1,21,1,32.36253333,-86.21578889,1
33,1,21,1,31.14464444,-86.86605556,1
40,13,26,1,31.72568611,-86.03222222,1
49,10,26,1,33.34107222,-87.56483889,1
25,6,28,1,30.72373333,-88.248025,1
20,15,28,1,33.09492222,-87.22630278,1
50,1,28,1,33.12414722,-85.32689167,1
30,4,18,1,30.667125,-88.1705,1
40,20,25,1,31.25563056,-85.43430278,1
36,14,30,1,34.36448056,-86.11376111,1
44,8,30,1,32.43648333,-85.02423056,1
42,17,31,1,32.47655556,-86.47356111,1
30,23,30,1,34.68354722,-86.73476389,1
55,23,14,1,33.59749167,-85.94084722,1
0,18,23,1,32.88121111,-85.39059722,1
18,7,24,1,33.61210556,-86.68737222,1
0,15,1,2,34.59659722,-85.99664167,1
39,20,1,2,33.21926667,-87.58566111,1
45,14,1,2,32.01673056,-86.35999722,1
24,9,4,2,32.74463611,-85.28206389,2
50,21,4,2,33.816825,-86.371725,1
5,18,6,2,33.57028611,-86.89997222,1
15,23,7,2,34.75231944,-86.824575,1
47,16,7,2,34.04098611,-86.88535278,2
50,17,8,2,33.81774722,-86.59756667,1
5,16,8,2,34.17370278,-86.89255833,1
46,5,9,2,34.77935,-86.61655556,1
0,6,9,2,34.94517778,-87.62675,1
50,0,11,2,31.14635278,-85.51101667,1
52,23,2,2,30.24903056,-87.70107222,1
40,22,28,1,33.49045278,-86.90728611,1
40,13,7,2,34.32125556,-86.31217778,1
48,15,15,2,34.73763333,-86.60610278,1
38,4,18,2,30.35567778,-87.67881111,1
16,17,19,2,31.96683333,-87.64171944,1
35,13,24,2,32.42306389,-87.00239167,1
44,8,5,1,33.18965278,-87.45851944,1
25,18,16,1,34.17608611,-86.34766944,1
7,6,28,1,32.34402778,-86.22388889,1
35,6,21,1,34.06635833,-87.54353889,1
27,6,14,1,30.54553611,-87.74228333,1
38,23,4,2,33.43299444,-86.82408611,1
50,7,5,2,30.58463889,-88.142225,1
30,9,9,2,34.39453056,-86.67515833,1
32,9,10,2,31.90223333,-87.37527778,1
30,8,11,2,34.79994167,-87.07167778,1
30,3,11,2,33.31189444,-87.888925,2
27,2,11,2,30.45783611,-87.77105833,1
0,8,12,2,34.97799167,-87.25075,1
5,1,13,2,33.35213611,-86.85598333,1
20,18,15,2,33.54654167,-86.58539167,1
42,23,15,2,33.24695556,-87.84088333,1
99,99,18,2,32.90000833,-87.12397778,1
41,16,18,2,31.72705278,-87.10036111,2
30,13,18,2,34.493,-87.37201389,1
55,17,19,2,33.705575,-86.7592,2
35,14,19,2,33.95125556,-86.38592778,1
25,14,20,2,33.79484167,-86.61626111,1
0,14,21,2,34.02849444,-86.90134444,1
25,10,22,2,33.70283889,-86.20365556,1
5,4,26,2,33.7317,-87.01558611,1
57,19,12,2,32.31258611,-86.22396389,1
50,11,21,2,31.98757778,-85.11444444,1
51,12,21,2,31.33111944,-85.81186111,1
50,11,29,2,34.68881667,-86.721175,1
59,20,9,2,34.13128889,-85.84590556,1
2,7,18,2,30.76359167,-88.15784722,1
49,6,21,2,34.60483333,-85.9917,1
20,13,22,2,34.54180278,-86.53335,1
40,16,26,2,32.36681111,-86.31686944,1
40,0,26,2,32.77323889,-87.27843056,2
45,23,27,2,30.829125,-88.26487778,1
15,18,27,2,34.08721111,-85.44910833,1
40,12,16,2,30.65115278,-88.12173611,1
4,10,27,2,32.53561667,-85.54959444,1
40,17,24,2,31.42221667,-85.52078889,1
25,10,27,2,34.22429722,-86.90158889,1
32,21,8,3,34.82889167,-87.68447222,1
0,22,9,3,31.45667778,-85.66613889,1
3,19,13,3,33.28321389,-87.57045,1
3,0,14,3,31.71631389,-86.25935,1
39,20,22,3,33.859525,-87.28093056,1
3,9,24,3,32.97595556,-85.93258611,1
37,11,19,2,33.463425,-86.82543889,1
1,0,1,3,33.22044167,-87.43971389,1
0,20,2,3,31.09388056,-87.27614167,1
45,13,2,3,32.57865,-85.322625,1
33,1,2,3,34.62908611,-86.53769167,1
30,0,2,3,31.11363056,-87.21026667,1
50,16,4,3,31.34761667,-87.20721111,1
25,2,4,3,33.61077778,-86.96296944,1
20,21,5,3,31.28865278,-85.99266944,1
15,2,6,3,31.55350278,-87.81595278,1
45,5,6,3,34.61468333,-86.37691667,1
10,10,7,3,30.38483333,-87.63086111,1
0,17,7,3,34.94683056,-86.57176667,1
5,17,8,3,34.74498056,-86.44863333,1
25,5,9,3,33.57522778,-86.72001944,1
30,11,10,3,34.86058056,-87.93026944,1
10,18,10,3,33.642775,-86.02560278,2
16,19,1,3,34.35980833,-85.81209167,1
3,18,10,3,34.26905,-86.05908333,1
15,8,10,3,33.07473611,-86.57162778,1
20,19,11,3,32.50108611,-87.04708889,1
5,17,11,3,33.85325556,-85.91558333,1
0,15,13,3,34.75866944,-87.99263611,1
11,20,13,3,32.46868889,-86.44913333,1
15,7,13,3,30.93755833,-87.81082778,1
